@RELATION stats
@ATTRIBUTE turnsPlayed NUMERIC
@ATTRIBUTE survive {true, false}
@ATTRIBUTE fleetGenerated NUMERIC
@ATTRIBUTE fleetLost NUMERIC
@ATTRIBUTE fleetReinforced NUMERIC
@ATTRIBUTE largestAttack NUMERIC
@ATTRIBUTE largestLoss NUMERIC
@ATTRIBUTE largestReinforcement NUMERIC
@ATTRIBUTE planetsLost NUMERIC
@ATTRIBUTE planetsConquered NUMERIC
@ATTRIBUTE planetsDefended NUMERIC
@ATTRIBUTE planetsAttacked NUMERIC
@ATTRIBUTE numFleetLost NUMERIC
@ATTRIBUTE numFleetReinforced NUMERIC
@ATTRIBUTE numFleetGenerated NUMERIC
@ATTRIBUTE totalTroopsGenerated NUMERIC
@DATA
630,false,15572,9968,4293,126,95,64,100,99,269,649,550,323,972,15973
96,false,197,90,102,17,17,14,2,1,0,25,24,24,49,98
134,false,374,159,183,28,15,21,5,4,3,33,29,33,66,142
144,false,247,178,69,25,25,5,2,1,0,31,30,15,46,212
303,true,14534,554,13920,21,21,270,7,18,59,104,86,626,730,14062
302,false,1661,1326,276,35,24,21,16,15,57,269,254,47,316,1613
303,true,18452,893,17434,26,20,200,5,22,149,131,109,891,1022,22785
293,false,325,246,66,13,8,7,7,6,4,123,117,32,155,204
226,false,206,108,94,21,21,8,3,2,0,42,40,46,88,88
304,false,2581,1817,603,40,21,24,38,37,89,459,422,96,555,2429
305,true,10645,1101,9205,58,25,77,27,56,460,185,129,1084,1269,19171
263,true,6752,1086,5364,61,34,48,16,43,154,137,94,478,615,22203
262,false,2148,1446,531,45,26,24,25,24,36,199,175,62,261,1852
116,false,176,117,59,24,24,9,1,0,0,26,26,21,47,47
124,false,142,100,41,10,10,6,3,2,2,33,31,22,55,58
297,false,1198,916,227,40,24,22,10,9,26,168,159,30,198,1240
318,true,13435,396,12955,40,20,329,6,10,103,41,31,298,339,8781
317,false,2739,2065,512,40,40,40,25,24,63,316,292,50,366,2455
318,true,25404,1259,23932,40,24,237,24,42,301,187,145,1407,1594,32222
248,true,8744,490,7903,88,67,120,5,14,204,39,25,326,365,12782
244,false,2573,2042,476,50,50,20,15,14,15,312,298,75,387,2293
248,true,9924,631,8768,96,47,118,8,23,192,63,40,342,405,14174
247,false,1770,1416,324,40,40,19,8,7,2,143,136,32,175,1279
188,false,102,61,41,5,5,2,2,1,23,51,50,43,94,103
154,false,93,50,43,2,2,5,1,0,14,49,49,36,85,93
439,true,3057,1161,1755,32,32,40,9,35,76,310,275,290,600,16664
438,false,796,578,208,13,13,6,12,11,71,279,268,114,393,668
399,true,28854,934,27663,81,45,501,38,44,217,223,179,964,1187,10253
398,false,3652,2194,1251,27,27,45,69,68,201,592,524,220,812,3185
399,true,48760,1292,47093,24,21,271,63,89,573,324,235,3093,3417,39891
386,false,2774,1630,951,27,27,21,45,44,110,394,350,159,553,2110
91,false,307,218,74,24,24,40,3,2,0,33,31,5,38,234
199,true,18050,932,8174,40,26,138,14,36,136,136,100,660,1139,12976
198,false,1663,1282,280,45,40,23,25,24,34,229,205,34,264,1482
199,true,6759,341,2839,39,17,207,8,14,33,47,33,163,286,3593
379,true,19993,769,19111,16,11,169,21,43,198,196,153,1762,1958,27242
339,false,461,261,186,10,6,6,8,7,12,105,98,77,182,288
379,true,6797,334,6452,19,19,700,8,8,78,102,94,299,401,988
378,false,1730,1138,538,19,13,10,24,23,80,301,278,134,435,1508
294,true,19173,924,18067,50,27,178,18,28,113,129,101,972,1101,14521
293,false,3068,2172,625,50,22,30,49,48,89,370,322,87,457,2949
294,true,28179,1098,26820,39,26,197,20,40,175,147,107,1385,1532,27283
115,false,227,162,65,18,18,30,1,0,0,24,24,6,30,180
247,false,2286,1418,721,50,24,21,29,28,46,358,330,149,507,1830
270,true,11814,416,4435,50,28,448,5,7,122,76,69,223,347,3088
269,false,2018,1269,596,35,21,21,25,24,85,241,217,74,315,1681
270,true,31166,1244,17050,25,23,210,35,61,340,218,157,1240,1797,22321
470,true,53598,1320,51801,101,30,507,24,37,316,148,111,1154,1302,32418
422,false,7889,4716,2872,66,66,30,76,75,224,575,500,321,896,6747
470,true,46470,2644,43433,43,25,513,78,85,390,377,292,1591,1968,26438
469,false,3819,2266,1286,45,29,32,40,39,122,306,267,170,476,3457
300,false,7546,5543,1935,50,50,30,16,15,8,518,503,189,707,6146
301,true,15426,797,12369,562,50,1263,9,28,546,60,32,309,369,21848
292,false,4994,3537,1438,34,34,45,8,7,3,323,316,145,468,3256
301,true,10540,136,10379,45,30,1107,3,4,217,12,8,241,253,4983
328,true,26845,1651,16490,50,50,327,36,47,222,206,159,849,1203,14089
327,false,6230,3614,2231,50,33,33,63,62,201,440,378,256,696,5702
328,true,19278,1229,11253,39,23,154,32,39,184,182,143,606,896,9213
275,false,1284,602,637,23,23,19,15,14,39,106,92,95,201,736
462,true,5033,1106,3795,19,16,55,26,49,239,355,306,569,924,16391
461,false,1546,1139,366,16,16,17,29,28,104,335,307,116,451,1534
254,false,154,73,79,3,3,5,3,2,12,56,54,51,107,131
219,false,169,120,47,6,6,5,4,3,19,74,71,27,101,147
197,false,683,495,160,40,24,16,5,4,13,64,60,23,87,660
323,true,17649,688,16855,40,20,307,18,25,140,88,63,610,698,10390
322,false,3889,2919,754,40,21,24,49,48,154,522,474,132,654,4081
323,true,25745,1344,24218,40,24,233,24,41,338,214,173,1247,1461,24433
472,false,2648,1939,599,37,37,15,36,35,121,371,336,158,529,2709
473,true,8127,1594,6327,23,23,58,28,53,185,322,269,762,1084,22974
145,false,120,29,91,5,5,5,1,0,3,22,22,55,77,78
139,false,97,38,59,5,5,3,1,0,0,27,27,43,70,70
407,false,2172,659,1464,21,21,45,13,12,16,106,94,160,266,1653
675,false,19369,9698,8557,102,74,129,136,135,390,863,728,750,1613,15918
676,true,129028,8962,117482,281,140,1843,175,204,1038,823,619,2989,3812,75779
599,false,10226,5324,4259,76,76,68,64,63,233,450,387,331,781,7654
323,false,3226,2225,861,32,32,25,32,31,74,330,299,100,430,2669
324,true,26193,557,16181,25,21,390,11,17,111,81,64,570,708,9414
166,false,652,267,369,24,24,40,6,5,3,51,46,44,95,531
324,true,46072,1199,29550,88,35,296,17,37,138,163,126,1163,1517,22810
325,false,2010,1426,475,45,29,38,21,20,53,203,183,64,267,1843
326,true,30168,1230,28612,45,41,609,12,38,127,146,108,1436,1582,36283
148,false,316,173,143,11,11,12,1,0,0,35,35,28,63,126
326,true,9903,264,9625,23,23,583,2,4,25,51,47,218,269,3192
287,true,6511,1195,5090,49,45,47,19,38,142,164,126,460,624,14678
286,false,1910,1261,484,45,25,27,26,25,44,188,163,53,241,1807
167,false,224,67,157,7,7,10,1,0,2,32,32,54,86,86
173,false,245,131,114,15,15,11,1,0,3,48,48,42,90,91
406,true,20884,290,20537,25,17,782,7,9,112,48,39,278,326,2297
194,false,434,98,327,11,10,11,2,1,0,38,37,87,125,225
406,true,46379,2039,43635,47,42,348,57,85,367,281,196,2290,2571,46687
405,false,6660,4073,2046,49,39,53,74,73,149,608,535,233,841,5452
84,false,295,256,24,40,25,24,2,1,1,28,27,1,29,232
211,false,673,154,480,40,17,24,4,3,0,26,23,65,91,345
307,false,4121,3358,525,53,53,27,35,34,118,336,302,56,392,4591
308,true,15678,2183,12964,71,45,81,21,52,279,237,185,959,1196,29781
198,false,91,69,22,5,5,3,2,1,0,55,54,19,74,77
134,false,61,41,20,5,5,1,1,0,0,34,34,20,54,54
491,false,9589,6913,1990,66,56,40,81,80,234,693,613,206,899,9666
492,true,26679,3609,21815,98,55,242,62,95,575,407,312,1064,1471,39796
330,false,4183,2995,1163,40,40,35,8,7,24,309,302,135,444,2309
369,true,10693,949,8807,449,40,582,5,29,574,161,132,501,662,22333
368,false,7525,5224,2237,40,38,30,21,20,88,921,901,400,1321,6588
369,true,10188,375,9091,414,31,651,4,8,507,88,80,273,361,9865
490,false,7378,4203,2832,39,34,34,82,81,288,607,526,404,1011,6145
491,true,58781,3225,41232,29,25,217,105,126,604,540,414,2559,3328,29504
419,false,8503,4551,3676,26,26,25,101,100,298,743,643,527,1270,6996
491,true,46826,2145,29681,44,36,462,67,78,455,394,316,1243,1703,18130
199,false,957,732,152,50,16,20,8,7,12,101,94,16,117,799
318,true,33825,1348,32249,50,50,253,19,48,165,212,164,1710,1922,41638
317,false,1298,970,250,25,23,23,21,20,63,182,162,32,214,1332
318,true,12239,336,11860,25,21,923,5,6,20,61,55,154,215,3846
231,false,768,673,57,45,33,18,7,6,1,89,83,4,93,640
232,true,8964,436,8470,27,27,188,4,10,16,56,46,548,604,8512
59,false,80,80,0,35,35,0,1,0,0,4,4,0,4,28
232,true,20019,716,19067,36,29,174,2,24,46,81,57,871,952,27576
390,true,22271,800,21324,20,19,215,29,40,256,172,132,1134,1306,17765
389,false,3946,2686,1046,27,25,16,64,63,161,504,441,203,707,3611
390,true,18921,1090,17546,48,14,221,55,64,310,248,184,1005,1253,14276
320,false,1694,1007,639,12,12,30,28,27,56,236,209,138,374,1409
242,true,2617,944,1587,42,25,78,2,24,189,169,145,230,399,16327
236,false,1179,887,284,25,25,8,5,4,7,171,167,51,222,939
242,true,2099,80,1967,15,15,50,1,1,80,19,18,190,216,1591
241,false,892,721,164,15,15,9,3,2,13,155,153,40,195,738
161,false,161,123,33,16,11,9,2,1,0,46,45,8,54,112
125,false,149,48,101,10,10,8,2,1,0,14,13,41,55,110
150,false,708,572,110,45,45,27,6,5,7,64,59,10,74,626
162,true,5143,1128,1136,56,52,52,4,25,70,120,95,95,390,4788
248,false,428,374,45,21,21,15,9,8,2,95,87,7,102,306
284,true,9082,178,8854,22,16,141,5,13,48,39,26,435,474,10462
283,false,843,595,198,21,15,35,17,16,29,136,120,23,159,834
284,true,18568,1053,17378,35,35,134,16,36,106,164,128,1347,1511,23501
451,true,27840,2679,24483,281,55,553,31,50,364,227,177,717,944,34738
450,false,6424,4961,1192,49,49,48,45,44,162,458,414,121,579,7199
202,false,456,231,218,16,16,14,4,3,6,60,57,52,112,244
142,false,226,104,122,12,12,12,1,0,0,35,35,33,68,136
137,false,96,43,53,5,5,5,1,0,0,29,29,34,63,63
243,true,1293,197,494,15,15,26,1,6,34,56,50,110,244,987
242,false,683,517,137,20,18,9,11,10,38,158,148,29,187,597
243,true,2140,672,622,20,20,14,8,17,64,155,138,161,443,1789
423,false,4621,3180,1405,75,75,30,12,11,78,474,463,208,682,3738
272,false,6420,100,6316,35,35,534,3,2,162,9,7,197,206,4109
313,false,2852,1599,1226,35,35,37,11,10,30,254,244,175,429,1933
424,true,9448,1203,7282,804,49,1488,7,26,464,188,162,380,568,23694
122,false,288,172,116,11,11,25,1,0,0,30,30,17,47,235
330,true,13252,460,12608,47,26,163,10,19,230,72,53,581,653,11650
329,false,2489,1962,425,25,25,19,34,33,81,419,386,76,495,2358
330,true,15226,544,14594,21,14,228,20,29,142,123,94,1034,1157,13294
237,false,434,236,198,20,20,12,2,1,3,53,52,41,94,357
907,true,104663,14055,84244,214,113,757,183,204,779,794,590,1962,2756,61997
906,false,44138,19100,21300,147,125,142,196,195,582,996,801,962,1958,32814
236,false,617,259,357,14,14,35,2,1,4,43,42,52,95,513
137,false,100,99,0,10,10,0,2,1,0,44,43,0,44,89
131,false,81,25,56,3,3,10,1,0,0,12,12,21,33,66
205,false,836,591,191,45,27,13,8,7,7,84,77,21,105,613
206,true,6896,911,5761,45,35,66,4,23,88,94,71,413,507,15328
317,false,1383,889,426,20,20,14,25,24,49,206,182,78,284,1164
318,true,7581,1494,5618,47,26,81,25,54,152,280,226,597,887,19590
313,false,440,260,167,16,15,9,7,6,13,70,64,41,111,308
154,false,264,68,192,6,5,15,2,1,2,24,23,45,69,198
301,true,20949,465,20350,41,28,246,5,17,64,51,34,681,732,18698
270,false,869,766,62,40,30,12,10,9,4,124,115,8,132,822
301,true,23141,822,22201,35,27,211,3,21,75,96,75,1172,1268,26969
300,false,583,519,42,35,19,21,4,3,2,72,69,4,76,524
139,false,503,96,407,12,12,30,1,0,2,15,15,49,64,402
205,false,536,494,29,30,30,7,5,4,2,74,70,5,79,432
206,true,6445,1157,4525,81,45,94,3,36,120,107,71,233,351,17584
156,false,529,431,96,50,50,11,4,3,3,80,77,13,93,443
242,false,2771,2127,520,36,30,22,24,23,99,304,281,75,379,2766
236,false,1761,282,1453,30,30,52,8,7,30,44,37,141,185,965
146,false,605,351,218,40,15,24,3,2,1,46,44,39,85,442
243,true,7988,1100,6197,44,40,104,10,31,253,149,118,506,670,14724
232,false,401,154,247,15,15,20,2,1,1,34,33,48,82,205
154,false,293,98,195,9,9,25,1,0,0,29,29,28,57,171
352,true,16140,1894,13731,93,56,181,25,46,326,220,174,511,731,22212
351,false,6569,4107,2173,95,95,69,39,38,149,408,370,262,670,5596
180,true,357,98,252,8,8,13,3,2,10,40,38,73,115,215
93,false,106,82,24,10,10,8,1,0,0,30,30,8,38,76
180,true,2842,616,616,45,45,20,1,16,60,89,73,109,324,2588
179,false,439,406,32,20,20,12,5,4,24,92,88,6,98,443
519,true,29959,2488,27196,45,29,370,57,65,546,454,389,1489,1943,22146
496,false,5103,3174,1781,30,30,23,49,48,220,516,468,293,809,4660
519,true,37629,1854,35522,25,22,357,40,56,561,294,238,1840,2134,31366
518,false,7500,5103,2194,34,30,28,60,59,274,819,760,378,1197,7149
352,false,657,542,115,16,16,6,5,4,3,208,204,51,259,606
353,true,7258,285,6921,60,40,61,0,7,185,26,19,441,467,7862
280,false,353,290,63,5,5,3,2,1,1,199,198,43,242,242
353,true,9060,400,8545,35,31,113,3,16,132,69,53,751,820,11075
225,false,1137,1084,18,26,25,6,9,8,14,192,184,4,196,1127
226,true,21543,1513,19622,135,55,100,5,38,151,152,114,1514,1666,29723
132,false,52,30,22,3,3,5,1,0,0,21,21,17,38,45
20,false,5,5,0,5,5,0,1,0,0,1,1,0,1,20
133,false,429,218,186,27,15,16,3,2,12,45,43,32,77,178
122,false,167,115,52,15,15,11,2,1,0,27,26,10,37,74
267,false,2933,2181,631,66,66,50,23,22,59,306,284,84,390,2820
268,true,10878,1214,9061,64,50,202,14,37,256,148,111,439,590,19666
263,true,11039,728,10104,67,47,185,0,13,137,47,34,303,350,16239
262,false,1555,1486,59,45,45,11,4,3,0,177,174,10,187,1272
263,true,17329,860,16266,90,60,144,3,16,93,63,47,912,975,21848
196,false,1012,773,234,40,40,14,2,1,5,88,87,29,117,936
234,false,742,594,116,20,20,10,11,10,32,113,103,35,148,873
125,false,228,60,167,10,10,10,3,2,0,25,23,47,72,130
200,false,880,594,212,45,45,14,16,15,13,95,80,27,122,752
235,true,8792,1245,6992,47,47,109,19,44,126,170,126,533,712,14643
1000,false,125233,4197,110996,6464,149,3276,30,36,268,296,260,3333,3657,55555
1000,false,81272,28938,42473,6685,2534,1710,33,45,225,1754,1709,2867,4702,83700
1000,false,110567,719,108160,523,258,3190,6,10,1400,25,15,797,822,28976
1000,false,54442,109,54004,50,30,1300,2,2,3,8,6,677,686,11565
273,true,12654,86,12398,162,13,710,3,6,42,12,6,277,289,2689
272,false,1591,1209,282,41,41,15,15,14,41,163,149,49,212,1248
273,true,25226,553,24460,50,21,295,9,24,187,87,63,1268,1355,23828
171,false,928,618,278,50,50,20,7,6,0,124,118,46,170,780
128,false,64,64,0,39,39,0,1,0,51,5,5,0,5,256
315,false,909,780,118,39,39,14,7,6,35,171,165,46,217,991
